手术室编号	状态	患者编号	医生编号
OR-03	1	P20260325002	D014
OR-02	0	N/A	N/A
OR-01	0	N/A	N/A
OR-04	0	N/A	N/A
OR-05	0	N/A	N/A
OR-06	0	N/A	N/A
OR-07	0	N/A	N/A
OR-08	0	N/A	N/A
OR-09	0	N/A	N/A
OR-10	0	N/A	N/A
OR-11	0	N/A	N/A
OR-12	0	N/A	N/A
OR-13	0	N/A	N/A
OR-14	0	N/A	N/A
OR-15	0	N/A	N/A
OR-16	0	N/A	N/A
OR-17	0	N/A	N/A
OR-18	0	N/A	N/A
OR-19	0	N/A	N/A
OR-20	0	N/A	N/A
OR-21	0	N/A	N/A
OR-22	0	N/A	N/A
OR-23	0	N/A	N/A
OR-24	0	N/A	N/A
OR-25	0	N/A	N/A
OR-26	0	N/A	N/A
OR-27	0	N/A	N/A
OR-28	0	N/A	N/A
OR-29	0	N/A	N/A
OR-30	0	N/A	N/A
