药品编号	通用名	商品名	别名	单价	库存
M101	感冒药	咳嗽灵	药	100.00	100
MX902	CommonY	CommonY	CommonY	5.00	9
MX901	CommonX	TradeX	AliasX	12.34	88
M100	药品M100	药品M100	药品M100	120.43	250
M099	药品M099	药品M099	药品M099	87.71	819
M098	药品M098	药品M098	药品M098	52.74	469
M097	药品M097	药品M097	药品M097	111.52	647
M096	药品M096	药品M096	药品M096	103.60	468
M095	药品M095	药品M095	药品M095	107.15	576
M094	药品M094	药品M094	药品M094	149.88	440
M093	药品M093	药品M093	药品M093	88.23	260
M092	药品M092	药品M092	药品M092	83.17	108
M091	药品M091	药品M091	药品M091	75.76	235
M090	药品M090	药品M090	药品M090	131.31	296
M089	药品M089	药品M089	药品M089	26.06	137
M088	药品M088	药品M088	药品M088	65.89	377
M087	药品M087	药品M087	药品M087	57.66	234
M086	药品M086	药品M086	药品M086	130.79	889
M085	药品M085	药品M085	药品M085	131.20	155
M084	药品M084	药品M084	药品M084	121.36	774
M083	药品M083	药品M083	药品M083	90.82	347
M082	药品M082	药品M082	药品M082	137.14	778
M081	药品M081	药品M081	药品M081	110.36	324
M080	药品M080	药品M080	药品M080	112.89	711
M079	药品M079	药品M079	药品M079	9.89	852
M078	药品M078	药品M078	药品M078	138.50	284
M077	药品M077	药品M077	药品M077	45.18	182
M076	药品M076	药品M076	药品M076	97.39	96
M075	药品M075	药品M075	药品M075	43.07	469
M074	药品M074	药品M074	药品M074	148.07	607
M073	药品M073	药品M073	药品M073	77.68	895
M072	药品M072	药品M072	药品M072	17.93	149
M071	药品M071	药品M071	药品M071	73.09	703
M070	药品M070	药品M070	药品M070	31.58	137
M069	药品M069	药品M069	药品M069	73.28	803
M068	药品M068	药品M068	药品M068	138.85	876
M067	药品M067	药品M067	药品M067	133.06	512
M066	药品M066	药品M066	药品M066	23.12	427
M065	药品M065	药品M065	药品M065	31.52	87
M064	药品M064	药品M064	药品M064	107.58	453
M063	药品M063	药品M063	药品M063	106.84	970
M062	药品M062	药品M062	药品M062	79.90	193
M061	药品M061	药品M061	药品M061	76.04	513
M060	药品M060	药品M060	药品M060	14.39	466
M059	药品M059	药品M059	药品M059	31.91	397
M058	药品M058	药品M058	药品M058	73.60	417
M057	药品M057	药品M057	药品M057	31.68	189
M056	药品M056	药品M056	药品M056	141.64	76
M055	药品M055	药品M055	药品M055	81.11	125
M054	药品M054	药品M054	药品M054	57.72	419
M053	药品M053	药品M053	药品M053	34.63	127
M052	药品M052	药品M052	药品M052	36.97	639
M051	药品M051	药品M051	药品M051	130.42	580
M050	药品M050	药品M050	药品M050	69.40	177
M049	药品M049	药品M049	药品M049	122.02	529
M048	药品M048	药品M048	药品M048	16.32	490
M047	药品M047	药品M047	药品M047	123.49	384
M046	药品M046	药品M046	药品M046	5.07	742
M045	药品M045	药品M045	药品M045	104.50	126
M044	药品M044	药品M044	药品M044	147.79	362
M043	药品M043	药品M043	药品M043	77.19	424
M042	药品M042	药品M042	药品M042	91.50	226
M041	药品M041	药品M041	药品M041	104.97	677
M040	药品M040	药品M040	药品M040	106.50	767
M039	药品M039	药品M039	药品M039	36.64	460
M038	药品M038	药品M038	药品M038	38.65	752
M037	药品M037	药品M037	药品M037	130.49	630
M036	药品M036	药品M036	药品M036	31.90	718
M035	药品M035	药品M035	药品M035	146.70	820
M034	药品M034	药品M034	药品M034	38.57	790
M033	药品M033	药品M033	药品M033	24.15	304
M032	药品M032	药品M032	药品M032	86.38	372
M031	药品M031	药品M031	药品M031	105.44	754
M030	药品M030	药品M030	药品M030	74.93	513
M029	药品M029	药品M029	药品M029	93.42	943
M028	药品M028	药品M028	药品M028	130.00	208
M027	药品M027	药品M027	药品M027	140.50	122
M026	药品M026	药品M026	药品M026	110.09	603
M025	药品M025	药品M025	药品M025	144.35	828
M024	药品M024	药品M024	药品M024	84.43	997
M023	药品M023	药品M023	药品M023	114.22	716
M022	药品M022	药品M022	药品M022	74.78	567
M021	药品M021	药品M021	药品M021	84.88	401
M020	药品M020	药品M020	药品M020	20.46	955
M019	药品M019	药品M019	药品M019	54.44	375
M018	药品M018	药品M018	药品M018	87.99	896
M017	药品M017	药品M017	药品M017	73.55	675
M016	药品M016	药品M016	药品M016	115.96	796
M015	药品M015	药品M015	药品M015	37.37	218
M014	药品M014	药品M014	药品M014	24.01	45
M013	药品M013	药品M013	药品M013	117.02	604
M012	药品M012	药品M012	药品M012	29.45	966
M011	药品M011	药品M011	药品M011	71.37	589
M010	药品M010	药品M010	药品M010	94.25	337
M009	药品M009	药品M009	药品M009	88.01	747
M008	药品M008	药品M008	药品M008	71.98	919
M007	药品M007	药品M007	药品M007	142.49	118
M006	氯化钠注射液	0.9%氯化钠注射液	0.9%盐水	134.46	761
M005	氯化钠注射液	生理盐水注射液	生理盐水	101.78	378
M004	对乙酰氨基酚	泰诺林片	泰诺	76.29	316
M003	对乙酰氨基酚	扑热息痛片	扑热息痛	112.13	89
M002	阿莫西林	阿莫仙片	阿莫仙片	0.00	879
M001	阿莫西林	阿莫西林	阿莫西林	0.00	537
