日期	诊别	科室编号	医生编号
2026-04-01	门诊	DEPT01	D001
2026-04-01	急诊	DEPT01	D002
2026-04-01	门诊	DEPT02	D005
2026-04-01	门诊	DEPT03	D009
2026-04-01	急诊	DEPT03	D010
2026-04-01	门诊	DEPT04	D013
2026-04-01	门诊	DEPT05	D017
2026-04-02	门诊	DEPT01	D003
2026-04-02	急诊	DEPT01	D004
2026-04-02	门诊	DEPT02	D006
2026-04-02	门诊	DEPT03	D011
2026-04-02	急诊	DEPT03	D012
2026-04-02	门诊	DEPT04	D014
2026-04-02	门诊	DEPT05	D019
2026-04-03	门诊	DEPT01	D001
2026-04-03	急诊	DEPT01	D002
2026-04-03	门诊	DEPT02	D005
2026-04-03	门诊	DEPT03	D009
2026-04-03	急诊	DEPT03	D010
2026-04-03	门诊	DEPT04	D013
2026-04-03	门诊	DEPT05	D017
2026-04-03	急诊	DEPT05	D020
2026-04-04	门诊	DEPT01	D003
2026-04-04	急诊	DEPT01	D004
2026-04-04	门诊	DEPT02	D006
2026-04-04	门诊	DEPT03	D011
2026-04-04	急诊	DEPT03	D012
2026-04-04	门诊	DEPT04	D014
2026-04-04	门诊	DEPT05	D019
2026-04-05	门诊	DEPT01	D001
2026-04-05	急诊	DEPT01	D002
2026-04-05	门诊	DEPT02	D005
2026-04-05	门诊	DEPT03	D009
2026-04-05	急诊	DEPT03	D010
2026-04-05	门诊	DEPT04	D013
2026-04-05	门诊	DEPT05	D017
2026-04-06	门诊	DEPT01	D003
2026-04-06	急诊	DEPT01	D004
2026-04-06	门诊	DEPT02	D006
2026-04-06	门诊	DEPT03	D011
2026-04-06	急诊	DEPT03	D012
2026-04-06	门诊	DEPT04	D014
2026-04-06	门诊	DEPT05	D019
2026-04-06	急诊	DEPT05	D018
2026-04-07	门诊	DEPT01	D001
2026-04-07	急诊	DEPT01	D002
2026-04-07	门诊	DEPT02	D005
2026-04-07	门诊	DEPT03	D009
2026-04-07	急诊	DEPT03	D010
2026-04-07	门诊	DEPT04	D013
2026-04-07	门诊	DEPT05	D017
2026-04-08	门诊	DEPT01	D003
2026-04-08      门诊    DEPT03  D023
2026-04-08	急诊	DEPT01	D004
2026-04-08	门诊	DEPT02	D006
2026-04-08	门诊	DEPT03	D011
2026-04-08	急诊	DEPT03	D012
2026-04-08	门诊	DEPT04	D014
2026-04-08	门诊	DEPT05	D019
2026-04-09	门诊	DEPT01	D001
2026-04-09	急诊	DEPT01	D002
2026-04-09	门诊	DEPT02	D005
2026-04-09	门诊	DEPT03	D009
2026-04-09	急诊	DEPT03	D010
2026-04-09	门诊	DEPT04	D013
2026-04-09	门诊	DEPT05	D017
2026-04-09	急诊	DEPT05	D020
2026-04-10	门诊	DEPT01	D003
2026-04-10	急诊	DEPT01	D004
2026-04-10	门诊	DEPT02	D006
2026-04-10	门诊	DEPT03	D011
2026-04-10	急诊	DEPT03	D012
2026-04-10	门诊	DEPT04	D014
2026-04-10	门诊	DEPT05	D019
2026-04-11	门诊	DEPT01	D001
2026-04-11	急诊	DEPT01	D002
2026-04-11	门诊	DEPT02	D005
2026-04-11	门诊	DEPT03	D009
2026-04-11	急诊	DEPT03	D010
2026-04-11	门诊	DEPT04	D013
